Product Line,Product Name,Condition,Number,Set,Rarity,Quantity,Main Photo URL,Set Release Date,SkuId,Order Quantity
"Magic","Invasion of Fiora","Near Mint","114","March of the Machine","R","4","","04/14/2023 00:00:00","7043306","95CE391B-5E3AED-28DEA:1 | 95CE391B-826BA3-B6417:1 | 95CE391B-AE8841-C4703:1 | 95CE391B-CF3C81-641A5:1"
"Magic","Invasion of Gobakhan","Near Mint","22","March of the Machine","R","1","","04/14/2023 00:00:00","7060543","95CE391B-E23354-3E7CC:1"
"Magic","Invasion of Ravnica","Near Mint","1","March of the Machine","M","1","","04/14/2023 00:00:00","7048031","95CE391B-E23354-3E7CC:1"
"Magic","Invasion of Segovia","Near Mint","63","March of the Machine","R","3","","04/14/2023 00:00:00","7052516","95CE391B-7ADEB8-9EB34:1 | 95CE391B-8C7087-2358C:1 | 95CE391B-E23354-3E7CC:1"
"Magic","Invasion of Tarkir","Near Mint","149","March of the Machine","M","1","","04/14/2023 00:00:00","7051506","95CE391B-AE8841-C4703:1"
"Magic","Knight-Errant of Eos","Near Mint","26","March of the Machine","R","2","","04/14/2023 00:00:00","7052596","95CE391B-7ADEB8-9EB34:1 | 95CE391B-8C7087-2358C:1"
"Magic","Wrenn and Realmbreaker","Near Mint","217","March of the Machine","M","1","","04/14/2023 00:00:00","7040717","95CE391B-CEAC19-631D0:1"
"Magic","Zephyr Singer","Near Mint","86","March of the Machine","R","1","","04/14/2023 00:00:00","7059363","95CE391B-7ADEB8-9EB34:1"
"Magic","Baral, Chief of Compliance","Near Mint","8","March of the Machine: Multiverse Legends","R","1","","04/21/2023 00:00:00","7073950","95CE391B-9DF9F9-1BC86:1"
"Magic","Emry, Lurker of the Loch","Near Mint","9","March of the Machine: Multiverse Legends","R","1","","04/21/2023 00:00:00","7044166","95CE391B-DE21F4-B6273:1"
"Magic","Urabrask the Hidden","Near Mint","23","March of the Machine: Multiverse Legends","M","1","","04/21/2023 00:00:00","7044406","95CE391B-9C553E-B8314:1"
"Magic","Graaz, Unstoppable Juggernaut","Near Mint","229","Phyrexia: All Will Be One","R","1","","02/03/2023 00:00:00","6935654","95CE391B-8C7087-2358C:1"
"Magic","Green Sun's Twilight","Near Mint","169","Phyrexia: All Will Be One","R","1","","02/03/2023 00:00:00","6935069","95CE391B-08A68B-118AD:1"
"Magic","Ichormoon Gauntlet","Near Mint","56","Phyrexia: All Will Be One","M","1","","02/03/2023 00:00:00","6949228","95CE391B-F6631F-3E201:1"
"Magic","Jace, the Perfected Mind","Near Mint","57","Phyrexia: All Will Be One","M","2","","02/03/2023 00:00:00","6929603","95CE391B-054F8A-20F40:1 | 95CE391B-DC893B-6D683:1"
"Magic","Karumonix, the Rat King","Near Mint","98","Phyrexia: All Will Be One","R","4","","02/03/2023 00:00:00","6934669","95CE391B-150D0F-AB403:4"
